record	instance	pairs	proven_pairs	status
R0	sf010	1	0	ELAB_FAIL
R0	sf010	1	0	ELAB_FAIL
R0	sf010	1	0	ELAB_FAIL
R0	sf010	1	0	ELAB_FAIL
R0	sf010	1	0	ELAB_FAIL
R0	sf010	1	0	ELAB_FAIL
R1	sf035	1	0	ELAB_FAIL
R1	sf035	1	0	ELAB_FAIL
R1	sf035	1	0	ELAB_FAIL
R5	sf_bq003	1	0	ELAB_FAIL
R5	sf_bq003	1	0	ELAB_FAIL
R5	sf_bq003	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R6	sf_bq004	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R8	sf_bq006	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R10	sf_bq010	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R11	sf_bq011	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R13	sf_bq015	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R17	sf_bq020	1	0	ELAB_FAIL
R18	sf_bq021	1	0	ELAB_FAIL
R18	sf_bq021	1	0	ELAB_FAIL
R18	sf_bq021	1	0	ELAB_FAIL
R20	sf_bq023	1	0	ELAB_FAIL
R20	sf_bq023	1	0	ELAB_FAIL
R20	sf_bq023	1	0	ELAB_FAIL
R21	sf_bq027	1	0	ELAB_FAIL
R21	sf_bq027	1	0	ELAB_FAIL
R21	sf_bq027	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R22	sf_bq029	1	0	ELAB_FAIL
R23	sf_bq030	1	0	TIMEOUT
R23	sf_bq030	1	0	TIMEOUT
R23	sf_bq030	1	0	TIMEOUT
R23	sf_bq030	1	0	TIMEOUT
R23	sf_bq030	1	0	TIMEOUT
R23	sf_bq030	1	0	TIMEOUT
R27	sf_bq035	1	0	ELAB_FAIL
R27	sf_bq035	1	0	ELAB_FAIL
R27	sf_bq035	1	0	ELAB_FAIL
R28	sf_bq036	1	0	ELAB_FAIL
R28	sf_bq036	1	0	ELAB_FAIL
R28	sf_bq036	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R29	sf_bq039	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R30	sf_bq040	1	0	ELAB_FAIL
R31	sf_bq041	1	0	ELAB_FAIL
R31	sf_bq041	1	0	ELAB_FAIL
R31	sf_bq041	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R32	sf_bq042	1	0	ELAB_FAIL
R33	sf_bq044	1	0	ELAB_FAIL
R33	sf_bq044	1	0	TIMEOUT
R33	sf_bq044	1	0	TIMEOUT
R33	sf_bq044	1	0	TIMEOUT
R33	sf_bq044	1	0	TIMEOUT
R33	sf_bq044	1	0	TIMEOUT
R34	sf_bq045	1	0	ELAB_FAIL
R34	sf_bq045	1	0	ELAB_FAIL
R34	sf_bq045	1	0	ELAB_FAIL
R34	sf_bq045	1	0	ELAB_FAIL
R34	sf_bq045	1	0	ELAB_FAIL
R34	sf_bq045	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R35	sf_bq046	1	0	ELAB_FAIL
R36	sf_bq047	1	0	ELAB_FAIL
R36	sf_bq047	1	0	ELAB_FAIL
R36	sf_bq047	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R37	sf_bq048	1	0	ELAB_FAIL
R39	sf_bq051	1	0	ELAB_FAIL
R39	sf_bq051	1	0	ELAB_FAIL
R39	sf_bq051	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R40	sf_bq053	1	0	ELAB_FAIL
R41	sf_bq054	1	0	ELAB_FAIL
R41	sf_bq054	1	0	ELAB_FAIL
R41	sf_bq054	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R42	sf_bq055	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R43	sf_bq056	1	0	ELAB_FAIL
R44	sf_bq059	1	0	ELAB_FAIL
R44	sf_bq059	1	0	ELAB_FAIL
R44	sf_bq059	1	0	ELAB_FAIL
R44	sf_bq059	1	0	ELAB_FAIL
R44	sf_bq059	1	0	ELAB_FAIL
